Restaurante,Endereco,Estrelas,Chef,AnoDeFundacao,Obs
Le Belisaire,15º arr.,1,Matthieu Garrel,2000,Bistronomia clássica francesa com pratos de conforto refinado.
Lasserre,8º arr.,1,Michel Roth,1942,Classicos franceses servidos sob teto retratil com vista de Paris.
Etsi,9º arr.,1,Mikaela Lidar,2016,Fusão franco-grega com menus leves e aromaticos.
Maison Rostang,17º arr.,2,Nicolas Beaumann,1978,Tradição da familia Rostang com cozinha clássica reinterpretada.
Comice,16º arr.,1,Noam Gedalof,2017,Cozinha francesa moderna em ambiente acolhedor com vinhos biodinamicos.
Automne,11º arr.,1,Nobuyuki Akishige,2017,Fusão franco-japonesa com pratos sazonais criativos e minimalistas.
Aspic,9º arr.,1,Quentin Giroud,2020,Restaurante intimista com menu degustação surpresa de sete pratos.
Le Trente-Trois,8º arr.,1,Quentin Testart,2006,Cozinha contemporanea em ambiente elegante com foco em produtos sazonais franceses.
Restaurant Pages,16º arr.,1,Ryushi Teshima,2014,Menu degustação francês com técnica japonesa minimalista.
Shang Palace,16º arr.,1,Samuel Lee Sum,2011,Restaurante cantones estrelado de Paris com menus dim sum refinados.
Le George,8º arr.,2,Simone Zanoni,2015,Cozinha italiana moderna leve e criativa no hotel Four Seasons George V.
Contraste,8º arr.,1,Stéphane Manigold & Kevin de Porre,2019,Cozinha moderna com jogo de sabores e contrastes de texturas.
La Scène,8º arr.,2,Stéphanie Le Quellec,2019,Menu elegante e preciso que mistura tradição com toques contemporaneos.
Anona,17º arr.,1,Thibaut Spiwack,2019,Foco em sustentabilidade e uso de ingredientes locais orgânicos.
Pantheon Sorbonne – Baillotte,5º arr.,1,Thibaut Spiwack,2023,Culinaria moderna com foco em ingredientes locais e sustentabilidade.
Granite,1º arr.,1,Tom Meyer,2021,Foco em produtos sazonais e pratos de sabor intenso em ambiente moderno.
Tomy & Co,7º arr.,1,Tomy Gousset,2016,Pratos criativos e generosos com cozinha contemporanea francesa.
Okuda,8º arr.,2,Toru Okuda,2013,Kaiseki tradicional japones em ambiente minimalista parisiense.
Alliance,5º arr.,2,Toshitaka Omiya,2015,Combina técnica francesa e sutileza japonesa com foco em menus sazonais.
Kitchen Gallery,6º arr.,1,William Ledeuil,2009,Fusão franco-asiática com pratos vibrantes de ervas e caldos aromaticos.
PavYllon Paris,8º arr.,1,Yannick Alléno,2019,Cozinha contemporanea de balcao com foco em interação direta com o chef.
Yoshinori,6º arr.,1,Yoshinori Morisue,2017,Combinação harmoniosa entre precisão japonesa e gastronomia francesa.
